LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price,Product Link
C5156615,2.54-1*6,ZHOURI,"Plugin,P=2.54mm",," Plugin,P=2.54mm  Pin Headers ROHS",yes,20,20,0.0313,0.63,https://assets.lcsc.com/images/lcsc/96x96/20230124_ZHOURI-2-54-1-6_C5156615_front.jpg
C5116483,2.54-1*4,ZHOURI,"Plugin,P=2.54mm",," Plugin,P=2.54mm  Pin Headers ROHS",yes,20,20,0.0209,0.42,https://assets.lcsc.com/images/lcsc/96x96/20230123_ZHOURI-2-54-1-4_C5116483_front.jpg
C5116479,2.54-2*3,ZHOURI,"Plugin,P=2.54mm",," Plugin,P=2.54mm  Pin Headers ROHS",yes,10,10,0.0493,0.49,https://assets.lcsc.com/images/lcsc/96x96/20230123_ZHOURI-2-54-2-3_C5116479_front.jpg
C90544,0805B106K100NT,FH (Guangdong Fenghua Advanced Tech),0805,,10V 10uF X7R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,20,0.0202,2.02,https://assets.lcsc.com/images/lcsc/96x96/20221231_FH--Guangdong-Fenghua-Advanced-Tech-0805B106K100NT_C90544_front.jpg
C1797,0805CG180J500NT,FH (Guangdong Fenghua Advanced Tech),0805,,50V 18pF C0G ±5% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0050,0.50,https://assets.lcsc.com/images/lcsc/96x96/20221227_FH--Guangdong-Fenghua-Advanced-Tech-0805CG180J500NT_C1797_front.jpg
C2889526,0805 ±5% 10K,VO,0805,,125mW Thick Film Resistors ±5% 10kΩ 0805  Chip Resistor - Surface Mount ROHS,yes,100,100,0.0020,0.20,https://assets.lcsc.com/images/lcsc/96x96/20230128_VO-0805--5--10K_C2889526_package.jpg
C3017842,SCR0805J1K,VO,0805,,±5% 1kΩ 0805  Chip Resistor - Surface Mount ROHS,yes,100,100,0.0013,0.13,https://assets.lcsc.com/images/lcsc/96x96/20230122_VO-SCR0805J1K_C3017842_front.jpg
C2830722,0805B104J500NT,FH-BK(Guangdong Fenghua Bangke Elec),0805,,50V 100nF 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0060,0.60,https://assets.lcsc.com/images/lcsc/96x96/20230120_FH-BK-Guangdong-Fenghua-Bangke-Elec-0805B104J500NT_C2830722_front.jpg
C51118,AP2112K-3.3TRG1,Diodes Incorporated,SOT-25-5,,"65dB@(100Hz,1kHz) 600mA Fixed 3.3V~3.3V Positive 6V SOT-25-5  Linear Voltage Regulators (LDO) ROHS",yes,5,5,0.0700,0.35,https://assets.lcsc.com/images/lcsc/96x96/20221230_Diodes-Incorporated-AP2112K-3-3TRG1_C51118_front.jpg
C64982,B340A,MDD（Microdiode Electronics）,SMA(DO-214AC),,40V 550mV@3A 3A SMA(DO-214AC)  Schottky Barrier Diodes (SBD) ROHS,yes,10,10,0.0382,0.38,https://assets.lcsc.com/images/lcsc/96x96/20230314_MDD-Microdiode-Electronics--B340A_C64982_front.jpg
